feature,train_mean,new_mean,mean_diff
Item_Weight,12.81341957057374,12.81341957057374,0.0
Item_Fat_Content,0.3526927138331573,0.3526927138331573,0.0
Item_Visibility,0.06613202877895108,0.06613202877895108,0.0
Item_Type,7.226680746216121,7.226680746216121,0.0
Item_MRP,140.9927819781767,140.9927819781767,0.0
Outlet_Identifier,4.722280887011616,4.722280887011616,0.0
Outlet_Size,1.1708318667135984,1.1708318667135984,0.0
Outlet_Location_Type,1.1128710547929133,1.1128710547929133,0.0
Outlet_Type,1.2012202276193829,1.2012202276193829,0.0
Item_Outlet_Sales,2181.288913575032,2181.288913575032,0.0
Outlet_Years,26.168133286401503,26.168133286401503,0.0
